Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
European Union,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,      7.90,      8.00,      7.99,      8.17,      8.42,      8.24,      9.70,      7.84,      9.07,      8.09,      7.84,      7.41,      7.37,      7.51,      8.05,      7.84,      8.12,      8.07,      8.74,      8.63,,,,,,,,,,,,
European Union,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.43,      5.51,      6.02,      7.17,      5.97,      5.75,      5.63,      5.91,      5.42,      5.59,      6.50,      5.17,      5.33,,      5.55,      6.03,      6.29,      6.46,      6.60,      6.39,,,,,,,,,,,,
European Union,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.61,      3.92,      4.49,      4.43,      4.38,      4.35,      4.42,      4.42,      4.65,      4.50,,,,,,,,,,      3.76,,,,,,,,,,,,
European Union,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.89,      3.83,      3.75,      3.90,      3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,     21.70,     20.48,     19.75,     20.70,     20.59,     18.11,     16.42,     17.10,     16.54,     17.43,     17.77,     18.04,     20.28,     22.38,     23.14,     24.23,     25.59,     27.23,     27.77,     28.04,,,,,,,,,,,,
European Union,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,     14.22,     13.54,     13.80,     14.50,     14.23,     12.22,     11.73,     11.53,     11.11,     11.13,     12.32,     11.30,     12.05,     12.00,     13.05,     15.25,     16.53,     18.83,     20.77,     20.79,,,,,,,,,,,,
European Union,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,      5.71,      5.81,      4.89,      4.72,      4.63,,,      3.83,,,,,,,,,,,,,,
European Union,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     61.02,     60.75,     60.34,     63.59,     59.10,     58.25,     69.66,     68.51,     68.75,     60.71,     68.59,     68.85,     66.65,     64.73,     66.18,     64.11,     62.07,     62.06,     41.03,     56.13,,,,,,,,,,,,
European Union,World,Animal,Export,Export Product share(%),      1.66,      1.47,      1.58,      1.57,      1.43,      1.48,      1.39,      1.41,      1.41,      1.32,      1.18,      1.13,      1.06,      1.02,      1.10,      1.22,      1.23,      1.26,      1.33,      1.41,,,,,,,,,,,,
European Union,World,Capital goods,Export,Export Product share(%),     36.58,     36.47,     36.81,     37.06,     36.22,     36.12,     35.50,     36.47,     36.51,     37.22,     36.57,     36.84,     37.52,     37.60,     38.64,     38.35,     37.66,     37.71,     40.29,     40.26,,,,,,,,,,,,
European Union,World,Chemicals,Export,Export Product share(%),     17.02,     15.92,     15.39,     15.63,     15.36,     14.08,     13.59,     14.12,     14.05,     15.00,     14.99,     12.22,     13.03,     13.12,     12.89,     13.47,     13.97,     13.66,     13.29,     12.57,,,,,,,,,,,,
European Union,World,Consumer goods,Export,Export Product share(%),     34.99,     35.24,     35.69,     35.39,     35.26,     35.51,     34.67,     35.20,     33.65,     33.44,     31.58,     31.45,     32.24,     32.51,     31.50,     31.71,     32.61,     32.49,     31.12,     30.39,,,,,,,,,,,,
European Union,World,Food Products,Export,Export Product share(%),      4.14,      4.04,      4.10,      4.12,      3.89,      3.84,      3.64,      3.65,      3.46,      3.47,      3.41,      2.93,      3.08,      3.18,      3.07,      3.12,      3.40,      3.42,      3.38,      3.29,,,,,,,,,,,,
European Union,World,Footwear,Export,Export Product share(%),      0.59,      0.57,      0.56,      0.54,      0.51,      0.52,      0.50,      0.47,      0.45,      0.44,      0.45,      0.45,      0.47,      0.47,      0.47,      0.53,      0.58,      0.66,      0.71,      0.70,,,,,,,,,,,,
European Union,World,Fuels,Export,Export Product share(%),      5.13,      5.87,      5.30,      4.29,      4.78,      6.43,      7.04,      7.52,      6.50,      5.86,      4.86,      5.93,      5.04,      5.11,      4.34,      3.51,      3.08,      2.87,      2.92,      3.47,,,,,,,,,,,,
European Union,World,Hides and Skins,Export,Export Product share(%),      1.01,      0.91,      0.92,      0.90,      0.92,      0.90,      0.94,      0.90,      0.86,      0.81,      0.71,      0.70,      0.73,      0.80,      0.76,      0.81,      0.83,      0.85,      0.94,      0.90,,,,,,,,,,,,
European Union,World,Intermediate goods,Export,Export Product share(%),     20.70,     20.82,     19.84,     19.73,     20.94,     20.49,     21.88,     20.10,     21.57,     20.81,     20.32,     19.48,     19.97,     20.08,     20.08,     19.38,     19.25,     19.20,     18.88,     19.08,,,,,,,,,,,,
European Union,World,Mach and Elec,Export,Export Product share(%),     25.04,     24.98,     25.28,     25.16,     24.86,     25.42,     25.07,     25.98,     26.91,     27.47,     27.52,     27.78,     28.63,     28.44,     28.83,     28.70,     28.27,     28.22,     30.96,     31.25,,,,,,,,,,,,
European Union,World,Metals,Export,Export Product share(%),      5.46,      5.73,      5.68,      5.40,      5.72,      6.24,      6.18,      6.75,      6.98,      6.97,      6.56,      7.07,      7.13,      6.94,      6.41,      6.01,      5.42,      5.20,      5.33,      5.41,,,,,,,,,,,,
European Union,World,Minerals,Export,Export Product share(%),      0.39,      0.41,      0.39,      0.34,      0.36,      0.38,      0.37,      0.39,      0.40,      0.38,      0.34,      0.33,      0.32,      0.33,      0.31,      0.28,      0.29,      0.30,      0.29,      0.30,,,,,,,,,,,,
European Union,World,Miscellaneous,Export,Export Product share(%),     10.20,      9.71,      9.93,     10.15,      9.69,      9.19,      8.63,      8.74,      8.22,      8.62,     13.92,     14.14,     12.59,     12.59,     12.54,     13.63,     13.37,     13.34,      9.18,      8.98,,,,,,,,,,,,
European Union,World,Plastic or Rubber,Export,Export Product share(%),      3.64,      3.79,      3.88,      3.85,      3.78,      3.88,      3.75,      3.85,      3.86,      3.99,      3.55,      3.27,      3.46,      3.46,      3.41,      3.34,      3.26,      3.11,      3.29,      3.37,,,,,,,,,,,,
European Union,World,Raw materials,Export,Export Product share(%),      4.08,      4.06,      4.14,      4.11,      4.01,      4.20,      4.43,      4.61,      4.76,      4.66,      4.11,      4.12,      4.03,      4.00,      4.08,      4.04,      4.16,      4.33,      4.13,      4.60,,,,,,,,,,,,
European Union,World,Stone and Glass,Export,Export Product share(%),      4.37,      4.55,      4.08,      4.31,      5.45,      5.30,      7.14,      4.49,      5.79,      4.47,      3.40,      4.06,      3.89,      3.90,      4.40,      4.04,      4.05,      4.63,      4.83,      5.03,,,,,,,,,,,,
European Union,World,Textiles and Clothing,Export,Export Product share(%),      2.60,      2.55,      2.54,      2.56,      2.48,      2.53,      2.41,      2.44,      2.48,      2.51,      2.52,      2.51,      2.72,      2.79,      2.90,      3.17,      3.39,      3.49,      3.79,      3.74,,,,,,,,,,,,
European Union,World,Transportation,Export,Export Product share(%),     14.81,     15.58,     16.31,     16.90,     16.55,     15.60,     15.14,     15.15,     14.45,     14.33,     12.31,     13.34,     13.70,     13.72,     14.50,     13.74,     14.20,     14.34,     15.25,     14.83,,,,,,,,,,,,
