Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Animal,Export,Export(US$ Mil),          46852.92,          43183.59,          40869.40,          36916.40,          36996.29,          43000.42,          39046.69,          36198.55,          35650.75,          29886.23,          26732.83,          30895.30,          25090.22,          21989.84,          19774.82,          16439.28,          12336.99,          10293.09,          10214.94,           9428.95,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
,World,Capital goods,Export,Export(US$ Mil),         260195.41,         257232.47,         237177.08,         223235.93,         222507.84,         223228.73,         220216.79,         208938.35,         190477.17,         167051.24,         127324.18,         160904.72,         143276.18,         138852.62,         122148.74,         108319.33,          91335.46,          86785.65,          87130.82,          87747.52,          72666.36,          61378.31,          53506.54,          43525.24,          36822.48,          30698.12,          24652.41,          20283.00,           9913.56,           8815.51,           5495.03,
,World,Chemicals,Export,Export(US$ Mil),          32268.39,          34225.71,          37600.68,          35951.24,          41242.17,          45414.13,          48883.26,          49769.90,          49139.88,          39336.34,          32370.41,          38229.85,          30314.57,          27164.57,          23515.17,          20372.64,          16262.00,          14879.50,          14881.26,          14443.84,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
,World,Consumer goods,Export,Export(US$ Mil),         217807.37,         222222.76,         216005.92,         192768.71,         207507.90,         226076.26,         251260.44,         254516.94,         222387.15,         213483.18,         184535.57,         229957.73,         188026.29,         172451.87,         158225.13,         130466.57,         104574.50,         101627.28,         105447.32,         106921.81,          81310.78,          83102.93,          77951.41,          67000.10,          57334.22,          47521.32,          35981.46,          28400.22,          16526.06,          12634.80,           6942.32,
,World,Food Products,Export,Export(US$ Mil),          67071.99,          70767.67,          72789.89,          69606.81,          67206.39,          75027.99,          77839.92,          75427.38,          74501.35,          63450.63,          56733.41,          55774.33,          46178.41,          41003.47,          34342.20,          29810.99,          25671.18,          23275.18,          22545.47,          19457.70,          19485.42,          19988.83,          21998.68,          20946.94,          17164.48,          14031.99,          11313.61,           9034.25,           7062.36,           6670.97,           5289.44,
,World,Footwear,Export,Export(US$ Mil),           2183.07,           2624.63,           3628.70,           3516.13,           3747.52,           4118.59,           4075.76,           4214.29,           3986.98,           3693.57,           3272.26,           4111.40,           3945.08,           3680.25,           2892.51,           2723.57,           2385.43,           2262.53,           2277.34,           2233.77,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,World,Fuels,Export,Export(US$ Mil),          98172.60,         109019.12,          83234.65,          59484.34,          78003.73,         139481.57,         236712.00,         253336.65,         220933.01,         178687.24,         141982.59,         208131.29,          99916.16,         149071.77,         122072.73,          85268.79,          61403.41,          51171.72,          52301.43,          61706.34,          37833.07,          27497.58,          39708.85,          41265.60,          31419.60,          26814.48,          13402.72,          13589.00,          13121.93,          10594.18,            852.13,
,World,Hides and Skins,Export,Export(US$ Mil),           3011.55,           3730.97,           4392.39,           4629.77,           5267.86,           6391.94,           5684.74,           5080.37,           4963.15,           4425.76,           3207.53,           4889.74,           5313.29,           4671.33,           3882.05,           3618.42,           3102.09,           2852.09,           3019.88,           3021.16,           2589.82,           2722.47,           2971.61,           2716.26,           2642.64,           2226.91,           1665.14,            816.74,            631.88,            444.69,            324.69,
,World,Intermediate goods,Export,Export(US$ Mil),         171107.38,         187013.60,         186465.75,         172849.02,         179103.35,         204411.13,         221640.17,         232497.18,         241088.58,         196235.89,         157036.44,         190754.16,         163103.84,         146082.43,         120302.06,         103161.01,          77987.76,          66794.93,          65812.89,          65809.92,          57685.05,          58224.77,          63991.83,          60900.24,          59237.24,          45306.38,          33843.51,          29193.78,          24442.50,          22241.80,          13950.33,
,World,Mach and Elec,Export,Export(US$ Mil),         181821.73,         181762.65,         173620.06,         161205.53,         163756.65,         168896.46,         162333.45,         161097.43,         149892.59,         139744.58,         112228.91,         140394.03,         123842.38,         121248.99,         103058.97,          92094.44,          80214.00,          77481.29,          78350.94,          81388.65,          67821.93,          56984.63,          50435.99,          42187.27,          36342.47,          30565.70,          24622.91,          20212.48,           7580.56,           6982.55,           3812.82,
,World,Metals,Export,Export(US$ Mil),          60831.52,          66699.10,          61605.69,          53127.16,          57485.73,          68534.62,          69658.72,          74915.83,          83278.35,          71249.09,          54406.27,          77278.19,          72337.21,          66797.38,          50769.35,          41757.35,          27838.61,          25287.79,          23810.87,          25074.59,          21012.41,          21739.86,          24354.75,          22301.84,          22679.37,          17101.01,          13368.94,          13464.86,          11253.90,          10722.63,           6333.94,
,World,Minerals,Export,Export(US$ Mil),          74031.48,          73981.79,          68848.25,          52697.36,          52239.65,          69483.66,          77419.90,          78229.84,          88110.36,          67249.66,          39607.71,          48203.96,          46175.26,          36581.26,          26559.35,          18345.54,          10575.41,           8680.73,           8723.61,           9071.50,           7949.03,           8256.92,           8380.60,           7653.56,           7536.04,           5677.14,           4448.13,           5439.75,           4984.65,           4341.67,           2589.78,
,World,Miscellaneous,Export,Export(US$ Mil),          56183.29,          54035.96,          47710.21,          46910.31,          46401.89,          49148.33,          42934.38,          43163.39,          64307.23,          32348.99,          29289.32,          32756.70,          38834.56,          29503.65,          23345.28,          21668.23,          19514.38,          19269.54,          17430.76,          16136.18,          11649.64,          10351.75,          13296.51,          10674.66,           6286.55,           5230.25,           4349.83,           3492.55,           1619.40,           1298.62,            706.87,
,World,Plastic or Rubber,Export,Export(US$ Mil),          23922.50,          25328.45,          24618.12,          22844.82,          23355.36,          25323.56,          24481.99,          24721.80,          23914.30,          19525.14,          15920.09,          18631.48,          17772.63,          15475.64,          13776.96,          11307.96,           8970.36,           7821.29,           7798.49,           7977.35,           6649.21,           6290.43,           6204.64,           5468.18,           5302.00,           4193.87,           3338.30,           2692.53,           1693.02,           1363.42,            880.67,
,World,Raw materials,Export,Export(US$ Mil),         300067.05,         301267.40,         268347.51,         222007.01,         230493.59,         302991.83,         392533.45,         392956.00,         393071.50,         294242.06,         215552.75,         289609.81,         189854.38,         216267.00,         164241.51,         123856.30,          99232.38,          83160.36,          77148.02,          83336.71,          66744.03,          62588.38,          74364.28,          69971.07,          59403.52,          49844.60,          32330.47,          29231.67,          28295.15,          21883.57,           8013.05,
,World,Stone and Glass,Export,Export(US$ Mil),          35356.54,          35476.15,          35867.69,          35408.89,          33558.18,          35032.78,          39355.57,          45618.69,          43420.01,          33142.99,          25419.18,          24595.63,          20759.53,          18752.21,          14042.20,          12130.11,          10009.18,           8516.00,           7116.64,           7224.29,           7011.30,           6931.37,           6391.62,           6078.77,           5704.01,           5095.21,           3149.85,           2628.79,           1972.04,           1592.37,            452.66,
,World,Textiles and Clothing,Export,Export(US$ Mil),          20265.50,          20601.48,          20445.19,          20088.84,          21387.00,          23279.58,          23012.52,          24744.24,          22727.44,          19610.70,          17352.56,          22792.02,          21935.77,          20703.82,          21775.68,          18372.54,          17048.10,          16756.44,          14983.58,          16098.13,          14612.83,          13712.56,          13516.38,          10997.68,           9634.48,           7156.67,           5305.19,           5016.97,           3444.43,           2335.66,           1761.14,
,World,Transportation,Export,Export(US$ Mil),         152842.64,         152288.36,         134373.70,         120102.33,         121284.26,         118961.39,         121366.41,         106634.06,          98684.42,          81826.65,          55920.00,          77831.91,          71100.30,          64047.75,          53483.76,          46008.78,          38835.27,          39045.32,          41096.64,          40690.32,          32801.20,          31701.34,          27617.74,          23209.90,          18225.56,          14318.48,          11728.47,           9473.84,           7032.73,           5635.54,           3045.43,
