Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Spain,World,Consumer goods,Export,Export(US$ Mil),         143623.81,         147478.62,         136038.99,         124297.39,         121166.61,         135760.70,         131155.64,         118898.59,         124054.88,         104593.19,          99215.04,         121818.60,         109319.98,          92747.91,          84353.47,          81203.61,          70615.69,          57387.34,          52769.08,          51138.12,          47463.47,          46295.96,          43332.57,          42938.50,          39992.91,          32406.30,          26550.11,          28364.02,          26175.94,          23454.53,          17796.08,
Spain,World,Food Products,Export,Export(US$ Mil),          17477.80,          17937.71,          16459.47,          14857.83,          14406.51,          16378.82,          15904.52,          14856.59,          14224.47,          12122.39,          11937.23,          12920.63,          11094.96,           9279.21,           8551.07,           8236.07,           7304.56,           5830.32,           5460.49,           4938.00,           5299.28,           5260.66,           5124.77,           4699.58,           4200.34,           3423.75,           2796.88,           2967.83,           2630.67,           2294.59,           1969.95,
Spain,World,Footwear,Export,Export(US$ Mil),           3378.20,           3491.65,           3371.42,           3201.42,           3081.21,           3811.06,           3280.31,           2883.61,           3104.47,           2699.59,           2708.51,           2938.27,           2711.47,           2378.40,           2252.71,           2387.45,           2366.52,           2178.38,           2028.44,           1924.23,           2043.25,           2231.64,           2265.99,           2118.12,           2010.02,           1753.11,           1289.57,           1318.90,           1371.42,           1547.74,           1155.16,
Spain,World,Fuels,Export,Export(US$ Mil),          20345.86,          22296.67,          17842.25,          11405.83,          13987.63,          23477.05,          21479.70,          21150.35,          22117.24,          12520.44,          10151.16,          18274.02,          11995.25,           9868.59,           8393.54,           6930.03,           4775.94,           3288.16,           3372.72,           4175.28,           2449.77,           2257.89,           2664.62,           2516.15,           1566.48,           1588.45,           1747.49,           1936.04,           2619.93,           2631.38,           2355.63,
Spain,World,Hides and Skins,Export,Export(US$ Mil),           2185.91,           2299.56,           2195.96,           2045.46,           2019.71,           2400.69,           2257.08,           1956.13,           1983.57,           1565.05,           1385.34,           1668.37,           1554.76,           1380.97,           1224.54,           1247.31,           1196.59,           1150.85,           1045.52,            903.89,            806.03,            823.46,           1007.20,           1126.89,            936.06,            833.19,            671.62,            703.53,            624.21,            716.34,            672.62,
Spain,World,Intermediate goods,Export,Export(US$ Mil),          70125.10,          75243.39,          69648.07,          61440.20,          60432.21,          72235.80,          68623.43,          66161.99,          72449.19,          57089.89,          46528.68,          63199.43,          55975.24,          45529.16,          40138.74,          37503.08,          30835.47,          24754.20,          22712.21,          22332.17,          20968.14,          21157.71,          22280.90,          20610.96,          19562.47,          15737.73,          13151.82,          13267.18,          13613.31,          13224.06,          10890.17,
Spain,World,Mach and Elec,Export,Export(US$ Mil),          42169.27,          44023.50,          39905.41,          37520.04,          37832.70,          41750.52,          42271.64,          38939.70,          40013.73,          33883.20,          31832.78,          40789.54,          37991.88,          32577.82,          29148.95,          27267.56,          23734.63,          19065.93,          18783.64,          18685.48,          19115.69,          18411.03,          17131.20,          16923.94,          14459.71,          11524.07,           9724.83,          10429.60,           9460.37,           8558.56,           6561.74,
Spain,World,Metals,Export,Export(US$ Mil),          26697.19,          29264.85,          26510.74,          22195.11,          23452.89,          27642.92,          26342.79,          26326.13,          28355.54,          23574.38,          18768.87,          28713.71,          24791.60,          19453.75,          15782.59,          13849.53,          10577.05,           8504.71,           8069.40,           8236.32,           7624.24,           7905.54,           9013.09,           8296.72,           7671.30,           6271.84,           5513.05,           5505.71,           5538.14,           5320.85,           4550.43,
Spain,World,Minerals,Export,Export(US$ Mil),           3667.08,           4601.58,           3717.62,           2640.46,           2991.57,           3428.61,           3602.62,           3361.91,           3718.27,           2400.15,           1738.54,           1756.61,           1863.07,           1486.58,           1321.62,           1134.19,           1061.72,            988.98,            948.43,            905.76,            946.27,            871.21,            970.94,            817.02,            632.53,            533.48,            451.90,            471.59,            487.92,            523.54,            598.83,
Spain,World,Miscellaneous,Export,Export(US$ Mil),          30068.75,          28049.16,          17855.64,          16442.21,          16470.82,          21640.01,          21267.36,          19805.02,          16672.17,          13461.48,          12504.62,          14477.76,          12854.14,          10278.39,           9240.15,           9111.69,           8029.81,           6791.05,           6445.79,           6060.61,           5855.31,           5828.13,           5822.17,           4596.90,           3575.28,           3218.79,           2896.85,           2965.38,           2739.30,           2629.92,           1661.72,
Spain,World,Plastic or Rubber,Export,Export(US$ Mil),          16412.64,          17699.21,          16160.10,          14533.07,          14569.11,          16919.22,          16185.87,          15206.43,          17229.06,          13814.80,          11424.58,          14696.42,          13910.17,          11862.00,          10123.52,           9200.09,           7746.48,           6312.78,           6080.51,           5753.16,           5554.63,           5314.08,           4981.67,           4780.93,           4464.78,           3330.42,           2644.46,           2689.59,           2541.76,           2530.97,           2053.82,
Spain,World,Raw materials,Export,Export(US$ Mil),          36919.26,          36840.85,          33957.24,          30733.21,          30313.59,          33789.08,          31926.32,          30244.57,          29821.47,          25144.96,          22795.81,          24821.55,          21908.79,          18651.60,          17236.15,          16565.96,          15072.39,          12251.75,          11059.89,          10050.02,          10507.20,          10461.02,          10643.01,          10061.16,           8876.37,           7347.79,           6319.27,           6490.99,           5908.25,           5313.69,           5101.95,
Spain,World,Stone and Glass,Export,Export(US$ Mil),           9630.17,           9555.67,           9029.76,           8792.04,           8298.03,           9228.06,          10750.91,          10995.61,          10996.01,           7739.31,           6432.82,           7767.66,           7541.62,           6548.50,           5864.29,           5704.82,           5195.80,           4520.47,           4184.52,           4004.83,           4199.55,           4139.16,           3818.81,           3786.21,           3584.35,           3003.52,           2374.72,           2414.60,           2118.82,           1970.06,           1580.79,
Spain,World,Textiles and Clothing,Export,Export(US$ Mil),          19105.22,          19174.65,          18592.50,          16561.03,          15265.81,          16690.30,          15545.06,          13399.88,          13311.14,          11324.90,          10973.55,          11833.24,          10663.19,           9171.90,           8304.26,           8111.87,           7297.16,           6118.53,           5372.69,           5041.98,           5175.00,           5065.91,           4630.44,           4374.94,           3785.52,           2822.23,           2286.30,           2448.11,           2305.25,           2252.56,           1793.58,
Spain,World,Transportation,Export,Export(US$ Mil),          64007.22,          65874.35,          63425.63,          62891.20,          56286.19,          60031.82,          58065.82,          49214.29,          58360.47,          49367.77,          46936.08,          58984.54,          59974.89,          52356.20,          48598.05,          48653.61,          40727.74,          31857.51,          29066.05,          29588.38,          29362.03,          28385.31,          26360.60,          26516.11,          23601.13,          19284.13,          15642.26,          17294.92,          15233.93,          13018.43,           9385.50,
