Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      104207584.66,      109264899.20,       71339518.73,      106390377.71,      110803010.73,      119687295.37,      125125598.80,      111320685.14,      114114222.86,       93488283.88,       81766936.64,      103910214.12,       77163541.51,       72081973.23,       55627394.26,       42444327.53,       25086117.34,       26483546.91,       25925431.57,       19573260.97,       15885380.09,        1887193.27,       17518016.66,        9566656.30,        1486347.18,         552754.69,        6187852.69,          14840.29,        4459724.81,        4306583.87,,
,World,Animal,Export,Export(US$ Mil),           4190.48,           5069.54,           4827.69,           4316.21,           4049.21,           4729.64,           4373.08,           5372.62,           4334.92,           4440.97,           3818.74,           3475.96,           3092.01,           2669.66,           2772.86,           2672.56,           2361.81,           1953.85,           1899.96,           1740.67,            868.61,            829.46,            883.22,            780.83,            703.39,            489.34,            363.63,            356.25,             55.96,             45.02,,
,World,Capital goods,Export,Export(US$ Mil),          16134.08,          21010.20,          19712.04,          21600.19,          26191.80,          26648.47,          24767.90,          21938.30,          21794.03,          18342.74,          13322.37,          17599.95,          13932.77,          11482.29,           9374.25,           7478.81,           6225.19,           5291.00,           4216.85,           3992.84,           3853.13,           3605.74,           3800.45,           2952.90,           2529.44,           1852.56,           1545.12,           1425.33,             12.75,             15.58,,
,World,Chemicals,Export,Export(US$ Mil),          12872.09,          20046.45,          13856.06,           9997.21,          10342.62,          11083.02,           9496.79,           9200.25,           9804.03,           8029.38,           5756.68,           7863.28,           5803.58,           5383.94,           5240.79,           4507.02,           3417.48,           3233.64,           2532.53,           2542.43,           2240.39,           2245.53,           2475.14,           2387.79,           2091.23,           1417.51,           1065.30,           1168.40,              8.78,              4.97,,
,World,Consumer goods,Export,Export(US$ Mil),          41207.00,          49139.81,          46357.51,          39002.60,          45308.59,          56550.64,          43026.03,          56734.18,          60350.42,          47696.67,          27733.82,          28977.24,          23184.66,          29091.89,          23202.40,          21072.14,          18106.20,          13454.95,          13306.54,          12983.78,           7514.18,           7208.90,           6794.22,           5190.95,           5007.10,           3162.55,           2858.54,           2614.98,            151.46,            164.75,,
,World,Food Products,Export,Export(US$ Mil),          17568.97,          19455.14,          19334.09,          17845.28,          20656.07,          20164.80,          20073.02,          21019.82,          18076.93,          15934.80,          14360.68,          11612.96,           9945.70,           9143.95,           8279.40,           8465.89,           7711.04,           6204.86,           5614.62,           4991.67,           4631.91,           5038.61,           5117.31,           5551.03,           4319.63,           1483.81,            993.30,            758.23,            408.35,            339.93,,
,World,Footwear,Export,Export(US$ Mil),            531.09,            536.21,            556.98,            506.70,            535.14,            690.83,            743.16,            584.93,            520.65,            736.05,            304.36,            243.56,            228.60,            199.38,            116.58,            160.16,            147.54,            131.66,            138.34,            137.86,            101.26,            100.35,            101.01,             89.48,             75.10,             33.60,             26.07,             22.57,              3.36,              0.40,,
,World,Fuels,Export,Export(US$ Mil),          69893.30,         128746.13,         102772.36,          72320.84,          93583.53,         178057.57,         176290.82,         220445.36,         218823.28,         157286.87,         113187.80,         113132.24,         117835.44,          82255.66,          18159.82,          12377.91,          33857.63,          25568.41,          26666.42,          35249.93,          20845.39,          11176.24,          16037.74,          17641.22,           4484.35,           4245.70,           4934.62,           1630.27,              1.46,              1.60,,
,World,Hides and Skins,Export,Export(US$ Mil),            443.83,            704.56,            749.01,            725.47,            955.10,           1480.04,           1939.14,           1796.91,           1494.79,           3609.13,            872.94,           1204.45,            885.78,            543.11,            470.44,            429.50,            340.65,            376.66,            416.85,            439.08,            294.79,            309.01,            409.69,            327.39,            431.30,            237.42,            179.80,            174.85,              3.11,              3.10,,
,World,Intermediate goods,Export,Export(US$ Mil),          78307.63,          90677.45,          80698.58,          67794.55,          67424.47,          73134.94,          73975.42,          76942.81,          81265.73,          63251.04,          42215.57,          53656.86,          49024.69,          41963.34,          33859.70,          27966.76,          21144.32,          15448.14,          17529.24,          14245.97,          13854.20,           9747.33,          10856.68,          13471.21,          12454.41,           6866.41,           6137.21,           5465.29,             92.02,             91.97,,
,World,Mach and Elec,Export,Export(US$ Mil),           8434.06,          10086.81,           9103.00,           9495.45,          10805.42,          12267.73,          11538.19,          11760.97,          11789.40,          10223.77,           7260.57,           9870.28,           8785.92,           7002.36,           5626.22,           4835.64,           3851.40,           3110.99,           3090.18,           2731.87,           2396.19,           2211.24,           2071.82,           1809.02,           1512.98,           1020.58,            885.02,            774.25,             10.22,              8.72,,
,World,Metals,Export,Export(US$ Mil),          28960.16,          32127.66,          27357.57,          22269.18,          24238.81,          25360.42,          24258.90,          23452.91,          26295.95,          23690.15,          14545.22,          22329.20,          21584.07,          16363.31,          13526.57,          12219.82,           8117.24,           6190.84,           5579.14,           6041.78,           5012.58,           3275.23,           4032.29,           5400.06,           5691.73,           3140.41,           3048.57,           2686.91,              1.72,              1.57,,
,World,Minerals,Export,Export(US$ Mil),          19850.91,          19300.32,          17785.77,          13989.31,          14535.80,          18725.50,          21194.83,          19085.02,          20104.47,          15140.93,           9927.11,          13128.55,           8972.28,           5907.96,           4881.96,           4153.33,           2488.70,           2604.77,           2439.14,           2396.64,           2113.28,           2251.71,           2103.79,           2116.01,           2043.13,            971.80,           1106.19,           1074.98,             20.55,             22.43,,
,World,Miscellaneous,Export,Export(US$ Mil),           1867.89,           2900.96,           2507.92,           2939.90,           2931.34,           2723.61,           2893.35,           3585.29,           4267.29,           3103.29,           3313.71,           2921.84,           2763.07,           2252.74,           1534.34,           2837.89,           2634.68,           1581.02,           1028.21,           4466.97,            974.53,           3409.37,           3576.57,           2485.20,           8447.38,           9774.98,           9366.15,           9097.06,              8.17,              8.11,,
,World,Plastic or Rubber,Export,Export(US$ Mil),           3782.25,           3961.01,           4125.77,           3485.07,           3514.43,           4073.88,           6614.66,          14132.55,          11997.87,           4276.93,           2549.34,           3530.72,           2288.50,           1926.10,           1563.51,           1335.14,           1124.38,            850.93,            786.72,            798.98,            716.78,            903.40,            756.66,            868.93,            643.10,            267.87,            231.35,            271.94,              2.11,              2.54,,
,World,Raw materials,Export,Export(US$ Mil),         105328.18,         165652.32,         139975.46,         110017.38,         127449.71,         205806.70,         221244.72,         255391.10,         246326.96,         179705.24,         138776.08,         144427.24,         143741.64,          93208.42,          33637.56,          27192.54,          46814.75,          36573.86,          37085.02,          46638.03,          30219.63,          21934.07,          29356.53,          28918.92,          14592.65,          10634.07,          10213.83,           4174.86,            517.19,            428.58,,
,World,Stone and Glass,Export,Export(US$ Mil),          34738.68,          38495.67,          37648.16,          37784.88,          33286.07,          39007.25,          40426.03,          43863.96,          45307.39,          28052.98,          19379.63,          22577.70,          22940.73,          19485.63,          16348.76,          12810.35,          10290.85,           6316.48,           9620.50,           6707.45,           4963.68,           2383.92,           4645.53,           4621.73,           3268.95,           3215.09,           3442.39,            889.93,              4.80,              4.39,,
,World,Textiles and Clothing,Export,Export(US$ Mil),           4853.51,           5204.61,           6265.07,           5606.51,           5517.70,           6712.49,           6058.40,           6700.76,           6280.27,           5315.44,           4489.17,           5269.22,           4729.21,           4076.04,           4371.24,           5972.02,           5059.30,           3748.36,           3384.71,           3845.51,           3019.59,           3032.46,           3164.09,           2866.62,           2577.17,           1472.89,           1469.09,            693.05,             59.68,             39.72,,
,World,Transportation,Export,Export(US$ Mil),          17020.43,          18070.17,          16746.86,          17568.52,          22298.21,          19067.26,          17128.28,          14281.57,          15135.78,          12660.23,           9332.78,          12665.82,           8246.40,           7550.46,           6775.68,           5362.83,           4854.11,           3952.55,           2801.38,           2513.51,           2460.90,           1802.75,           1999.66,           1286.50,           1240.47,            909.30,            842.81,            822.89,              5.86,              8.40,,
,World,Vegetable,Export,Export(US$ Mil),          13204.76,          18175.13,          19002.41,          16324.13,          15863.30,          14013.18,          16135.57,          13152.44,          13058.03,          12448.69,           9898.89,          10239.39,           8052.95,           7867.64,           6583.90,           5811.33,           4983.10,           3535.47,           3904.45,           4338.48,           4270.97,           4622.92,           4573.89,           3212.36,           3759.32,           2009.29,            982.31,           1505.05,            178.50,            206.76,,
,World,Wood,Export,Export(US$ Mil),           3149.13,           4382.74,           5032.88,           4358.59,           4311.25,           4659.79,           4714.35,           4162.77,           5413.58,           5014.96,           4952.74,           6017.33,           5350.69,           4080.17,           4305.17,           3591.95,           2947.98,           2245.46,           2600.81,           2933.03,           2099.93,           1957.54,           2433.14,           2607.59,           2301.83,           1332.10,            910.23,            818.57,              5.74,              6.31,,
,World,All Products,Export,Exports (in US$ Mil),         241361.53,         327263.11,         287671.61,         239533.26,         267423.99,         362817.00,         363878.55,         412598.14,         412704.61,         309964.57,         223950.33,         246082.51,         231504.93,         176708.11,         100557.25,          87543.34,          94187.89,          71605.94,          72503.96,          81875.86,          57010.78,          45549.76,          54381.53,          54051.74,          43591.06,          32021.69,          29846.83,          22745.19,            778.36,            703.98,,
,World,Capital goods,Import,Import(US$ Mil),          69683.73,          83169.87,          77329.89,          84035.93,          92011.39,          96739.12,         100646.00,          90780.65,          93120.43,          83871.02,          72215.07,          75177.99,          70395.24,          51130.42,          36876.40,          30211.64,          28560.75,          21506.07,          19784.77,          18782.55,          16880.01,          19115.96,          18908.01,          16469.21,          15926.09,          10825.62,           8189.03,           7598.29,            332.12,            343.82,,
,World,Consumer goods,Import,Import(US$ Mil),          94926.95,         121416.67,         114009.14,         104207.76,         116283.66,         124560.36,         129995.40,         112827.20,         120633.00,          97967.48,          82242.38,          75070.78,          71054.17,          53071.08,          40622.86,          32765.39,          31016.99,          23772.80,          22846.27,          20999.34,          15741.14,          16435.01,          15207.88,          13048.66,          11310.98,           6284.84,           5235.95,           4032.93,            319.91,            403.64,,
,World,Intermediate goods,Import,Import(US$ Mil),          52025.62,          67434.74,          64898.67,          59230.61,          63221.70,          68504.33,          69018.61,          62902.04,          66582.08,          56398.17,          47656.11,          52030.56,          48401.19,          34937.33,          25050.66,          21283.40,          20899.52,          17822.60,          16460.31,          15773.06,          13336.06,          14621.10,          14668.38,          12541.31,          11381.62,           6486.94,           5266.39,           4872.71,            327.73,            328.76,,
,World,Raw materials,Import,Import(US$ Mil),          28431.46,          35250.65,          31494.28,          29330.29,          32032.84,          44689.43,          44239.21,          43190.40,          44606.00,          32368.31,          27485.81,          35944.04,          28740.35,          24124.32,          17932.74,          14809.01,          12173.31,           9462.76,           9631.13,           9712.05,           6905.00,           6898.70,           8537.23,           6630.21,           5546.06,           1646.56,           1527.32,           1478.53,             64.94,             66.54,,
